2004;60276276.0
2005;60824014.40880973
2006;61259646.578356035
2007;61687923.907409914
2008;62123834.19142411
2009;62612053.90793834
2010;63098529.70103496
2011;63590742.10526411
2012;64012484.25433163
2013;64362266.80549028
2014;64800159.362094104
2015;65301264.46379639
2016;65728357.784125276
2017;66170314.31257786
2018;66530038.29533941
2019;66911947.358861044
2020;67153563.2322274
2021;67252896.98610961
2022;67664245.26859432
2023;68352580.95296706
2024;68680055.24321115
2025;69023795.27414978
2026;69322690.94348712
2027;70486050.97165516
2028;70519580.85829003
2029;70318761.22721294
2030;70537097.20696664
2031;70661390.58219676
2032;70992740.09696615
2033;71373156.10110733
2034;71745267.77082811
2035;72092788.21675503
2036;72519073.05772005
2037;73047315.50374667
2038;73451637.19680795
2039;73876128.97175856
2040;74266409.2463715
2041;74627744.73736078
2042;75059128.49060903
2043;75335796.31307247
2044;75654862.15593068
2045;75870117.04535621
2046;76045772.24669981
2047;76243803.64613974
2048;76349344.43709679
2049;76569150.57162802
2050;76691946.44363686
