1999,23961423.0
2000,24370483.366437435
2001,24796078.41658057
2002,25234158.64381172
2003,25678296.870744467
2004,26093482.4485308
2005,26538898.55546376
2006,26988289.012694094
2007,27449187.03177809
2008,27952700.436012466
2009,28447471.734896064
2010,28940690.94253598
2011,29419581.26543772
2012,29907497.11531852
2013,30439356.305869237
2014,30958752.803979464
2015,31472017.4844016
2016,32041022.88484099
2017,32657207.09591804
2018,33276110.48293366
2019,33897891.27550648
2020,34564178.91464377
2021,35262013.86565341
2022,35984958.12042343
2023,36730086.09398548
2024,37453553.97410128
2025,38175630.36443015
2026,38958034.29342365
2027,39798567.68793313
2028,40656281.66127417
2029,41453031.49239038
2030,42205541.81762657
2031,42972772.84333664
2032,43695263.1584528
2033,44356994.29639243
2034,44951842.50762805
2035,45479040.00570848
2036,45997867.02212259
2037,46510626.09277971
2038,47005792.5423836
2039,47494222.99138026
2040,47968513.47427267
2041,48438152.52028474
2042,48934224.50363972
2043,49437804.97329985
2044,49949258.91541797
2045,50463507.30942599
2046,50979883.73464048
2047,51510750.13306366
2048,52049868.40440779
2049,52619635.576512
2050,53203493.34134618
