,age,group,plus,zero
1959,0,9,100,0
1970,0,9,100,0
1979,0,4,85,1
1989,1,4,85,1
1991,1,4,100,1
1992,1,4,100,1
1993,1,4,100,1
1994,1,4,100,1
1995,1,4,100,1
1999,0,4,100,1
2001,1,4,100,1
2002,1,4,85,1
2004,1,4,100,1
2005,1,4,85,1
2006,1,4,100,1
2007,1,4,100,1
2008,1,4,100,1
2009,1,4,100,1
2010,1,4,100,1
2011,1,0,100,1
2012,1,4,100,1
