year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +,Total
2004,4030075.0,4008276.0,4014090.0,4051978.0,3893301.0,3859550.0,3886159.0,3882722.0,3986082.0,4021171.0,4085336.0,4155139.0,4242045.0,4308540.0,4333820.0,4232641.0,4136161.0,4116369.0,4118350.0,4126415.0,4113445.0,4160772.0,4205768.0,4257127.0,4243306.0,4068529.0,3969389.0,3858131.0,3835386.0,3873258.0,3820741.0,3881430.0,4092444.0,4273362.0,4398822.0,4178543.0,4096983.0,4091345.0,4224087.0,4494693.0,4567817.0,4550055.0,4587796.0,4602984.0,4710094.0,4522882.0,4530899.0,4430012.0,4329240.0,4303777.0,4136771.0,3998600.0,3901673.0,3727160.0,3747044.0,3599414.0,3643164.0,3474118.0,3042519.0,2763579.0,2766511.0,2716714.0,2581178.0,2309761.0,2231270.0,2129920.0,2068175.0,1954505.0,1911187.0,1872757.0,1757783.0,1715590.0,1703536.0,1672693.0,1658544.0,1578852.0,1549671.0,1484429.0,1412589.0,1372612.0,10379108.0,293622764.0
2005,4106627.0,4086234.0,4042282.0,4007001.0,4061580.0,3907947.0,3865239.0,3876210.0,3903048.0,3986349.0,4051059.0,4085707.0,4170112.0,4241420.0,4309445.0,4386456.0,4223239.0,4160029.0,4119101.0,4150164.0,4181050.0,4117206.0,4199359.0,4244551.0,4295694.0,4287938.0,4083903.0,3965499.0,3913275.0,3815087.0,3927697.0,3816516.0,3909034.0,4096979.0,4326984.0,4412152.0,4169729.0,4094178.0,4104389.0,4221506.0,4511190.0,4580982.0,4565228.0,4578394.0,4624716.0,4706693.0,4514425.0,4515519.0,4460814.0,4287072.0,4305887.0,4118747.0,3980867.0,3846649.0,3745592.0,3730776.0,3582733.0,3549435.0,3720896.0,2769838.0,2757098.0,2709421.0,2796749.0,2460727.0,2277868.0,2208701.0,2091772.0,2043921.0,1915570.0,1871480.0,1863135.0,1693206.0,1683201.0,1649577.0,1619250.0,1627384.0,1515738.0,1490663.0,1428832.0,1349196.0,10738487.0,296410404.0
2006,4130153.0,4108182.0,4103596.0,4054103.0,4021602.0,4079611.0,3927732.0,3884875.0,3895638.0,3922031.0,4005280.0,4069916.0,4104189.0,4188365.0,4259647.0,4327967.0,4405878.0,4246797.0,4188099.0,4155445.0,4192856.0,4228240.0,4164745.0,4243588.0,4281811.0,4329989.0,4319358.0,4114339.0,3999614.0,3946180.0,3849426.0,3959178.0,3843995.0,3934407.0,4119493.0,4347328.0,4429481.0,4185477.0,4107226.0,4116273.0,4232151.0,4519023.0,4584499.0,4566738.0,4578754.0,4623194.0,4703085.0,4509041.0,4508874.0,4453375.0,4278883.0,4296090.0,4106440.0,3967135.0,3832057.0,3729151.0,3711844.0,3561672.0,3525750.0,3696028.0,2747686.0,2732800.0,2682136.0,2767578.0,2432038.0,2248747.0,2177289.0,2059457.0,2009854.0,1880207.0,1832720.0,1821505.0,1650287.0,1637049.0,1599729.0,1565863.0,1569345.0,1455389.0,1427484.0,1362946.0,10962481.0,299398484.0
2007,4257020.0,4182171.0,4110458.0,4111354.0,4063122.0,4031709.0,4089126.0,3935663.0,3891755.0,3901375.0,3927298.0,4010171.0,4074587.0,4108962.0,4193291.0,4264883.0,4334265.0,4414523.0,4257957.0,4202062.0,4168920.0,4205055.0,4237049.0,4171964.0,4249408.0,4285927.0,4332119.0,4321055.0,4116413.0,4002192.0,3948892.0,3850843.0,3958342.0,3842496.0,3932647.0,4118744.0,4345791.0,4426493.0,4181974.0,4103458.0,4112715.0,4227028.0,4511585.0,4576064.0,4557437.0,4569057.0,4612110.0,4690534.0,4494867.0,4494805.0,4438491.0,4262899.0,4277668.0,4087032.0,3947297.0,3811078.0,3706111.0,3687286.0,3534806.0,3496978.0,3666420.0,2720381.0,2703725.0,2651053.0,2734238.0,2399100.0,2214914.0,2142539.0,2023574.0,1972314.0,1840467.0,1790176.0,1776569.0,1604238.0,1588258.0,1547563.0,1509992.0,1509624.0,1394213.0,1363490.0,11210927.0,301621157.0
2008,4313132.0,4275764.0,4170892.0,4122109.0,4123955.0,4076460.0,4044248.0,4099843.0,3945016.0,3899682.0,3908489.0,3933831.0,4016358.0,4080712.0,4115237.0,4199941.0,4272369.0,4343810.0,4425810.0,4272428.0,4216817.0,4185936.0,4221753.0,4251279.0,4183196.0,4259271.0,4292584.0,4337428.0,4325469.0,4118991.0,4004532.0,3948847.0,3848954.0,3955863.0,3839626.0,3930785.0,4117658.0,4343589.0,4422993.0,4178756.0,4100699.0,4108835.0,4221923.0,4505976.0,4569916.0,4550719.0,4561403.0,4603406.0,4680217.0,4484129.0,4484204.0,4426140.0,4248664.0,4262115.0,4071068.0,3930114.0,3792045.0,3685807.0,3664396.0,3511083.0,3471732.0,3638390.0,2694150.0,2676741.0,2621723.0,2702067.0,2366613.0,2182750.0,2108945.0,1988307.0,1934466.0,1801027.0,1748173.0,1731748.0,1558845.0,1539704.0,1495722.0,1454472.0,1451035.0,1334230.0,11471612.0,304059724.0
2009,4261494.0,4298055.0,4335825.0,4223596.0,4180686.0,4185573.0,4138962.0,4108268.0,4167184.0,4009647.0,3946437.0,3941063.0,3956622.0,4033326.0,4096116.0,4133735.0,4224842.0,4306784.0,4388610.0,4483866.0,4340019.0,4291377.0,4265915.0,4306480.0,4335768.0,4263951.0,4330154.0,4350175.0,4379973.0,4353466.0,4136153.0,4013131.0,3950236.0,3844076.0,3945007.0,3824119.0,3909190.0,4093072.0,4316004.0,4395966.0,4155781.0,4076795.0,4084353.0,4196082.0,4478594.0,4543121.0,4524001.0,4534969.0,4576094.0,4652907.0,4460089.0,4455868.0,4396694.0,4218470.0,4230270.0,4040442.0,3897687.0,3759132.0,3651527.0,3626238.0,3479340.0,3437753.0,3587039.0,2666290.0,2641501.0,2587899.0,2655960.0,2328985.0,2144975.0,2066501.0,1948620.0,1892678.0,1765495.0,1711554.0,1689400.0,1528720.0,1506289.0,1462592.0,1421500.0,1406427.0,11452995.0,307006550.0
2010,3944153.0,3978070.0,4096929.0,4119040.0,4063170.0,4056858.0,4066381.0,4030579.0,4046486.0,4148353.0,4172541.0,4114415.0,4106243.0,4118013.0,4165982.0,4242820.0,4316139.0,4395295.0,4500855.0,4585234.0,4519129.0,4354294.0,4264642.0,4198571.0,4249363.0,4262350.0,4152305.0,4248869.0,4215249.0,4223076.0,4285668.0,3970218.0,3986847.0,3880150.0,3839216.0,3956434.0,3802087.0,3934445.0,4121880.0,4364796.0,4383274.0,4114985.0,4076104.0,4105105.0,4211496.0,4508868.0,4519761.0,4535265.0,4538796.0,4605901.0,4660295.0,4464631.0,4500846.0,4380354.0,4291999.0,4254709.0,4037513.0,3936386.0,3794928.0,3641269.0,3621131.0,3492596.0,3563182.0,3483884.0,2657131.0,2680761.0,2639141.0,2649365.0,2323672.0,2142324.0,2043121.0,1949323.0,1864275.0,1736960.0,1684487.0,1620077.0,1471070.0,1455330.0,1400123.0,1371195.0,11236760.0,308745538.0
