year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +,Total
2010,639452.0,642430.0,619576.0,573329.0,534549.0,526046.0,513177.0,508379.0,509328.0,505289.0,519312.0,530144.0,558653.0,598474.0,628965.0,633995.0,633866.0,653927.0,667889.0,656990.0,625811.0,617025.0,624834.0,623998.0,607525.0,575389.0,539767.0,510111.0,491196.0,473332.0,457958.0,442682.0,421218.0,418175.0,414231.0,394765.0,387349.0,388611.0,384765.0,369293.0,343647.0,334567.0,328871.0,322120.0,325728.0,324706.0,323157.0,321659.0,320894.0,314028.0,297824.0,284374.0,265009.0,241932.0,222098.0,201641.0,184554.0,177533.0,168230.0,156597.0,138308.0,112594.0,103916.0,93401.0,71515.0,53352.0,48992.0,65492.0,81490.0,84166.0,85808.0,82239.0,73543.0,70415.0,60401.0,47632.0,43929.0,46239.0,44546.0,32963.0,240490.0,28562405.0
2011,625642.0,639652.0,643451.0,620990.0,575070.0,536757.0,528654.0,516087.0,511546.0,512694.0,508886.0,523090.0,533897.0,562789.0,602727.0,633307.0,637857.0,637866.0,657389.0,671309.0,660386.0,629379.0,620900.0,628608.0,628031.0,611218.0,579355.0,543893.0,514311.0,495712.0,478019.0,462903.0,447651.0,426294.0,423381.0,419399.0,399963.0,392664.0,393730.0,390006.0,374479.0,348657.0,339614.0,334043.0,327221.0,330604.0,329405.0,327650.0,325919.0,324832.0,317651.0,301110.0,287426.0,267683.0,244421.0,224425.0,203698.0,186107.0,178743.0,169035.0,156862.0,138260.0,112465.0,103637.0,93165.0,71581.0,53310.0,48738.0,64455.0,79817.0,81792.0,82860.0,79220.0,70489.0,67239.0,57377.0,44672.0,41046.0,42799.0,41308.0,240090.0,29339368.0
2012,618580.0,623405.0,638050.0,642067.0,619839.0,574022.0,535823.0,527760.0,515281.0,510796.0,511998.0,508244.0,522419.0,533238.0,562150.0,601998.0,632019.0,636821.0,636727.0,655832.0,669647.0,658722.0,627692.0,619140.0,626907.0,625922.0,609371.0,577528.0,542184.0,512645.0,494109.0,476449.0,461398.0,446162.0,424832.0,421955.0,417966.0,398600.0,391325.0,392362.0,388647.0,373117.0,347356.0,338278.0,332719.0,325668.0,329035.0,327796.0,325880.0,324076.0,322832.0,315499.0,298933.0,285190.0,265331.0,242105.0,221945.0,201246.0,183566.0,176166.0,166212.0,153968.0,135434.0,109865.0,101088.0,90751.0,69572.0,51768.0,47117.0,62114.0,76778.0,78262.0,78788.0,75193.0,66391.0,63152.0,53503.0,41254.0,37530.0,38884.0,249454.0,29774448.0
2013,635139.0,621373.0,623596.0,638264.0,642120.0,619855.0,573928.0,535808.0,527571.0,514994.0,510414.0,511611.0,507832.0,522000.0,532868.0,561562.0,600958.0,631160.0,635880.0,635460.0,654410.0,668207.0,657242.0,626221.0,617691.0,625061.0,624277.0,607743.0,575933.0,540652.0,511164.0,492665.0,475076.0,460032.0,444865.0,423538.0,420622.0,416611.0,397161.0,390005.0,391089.0,387336.0,371808.0,346059.0,336954.0,331226.0,324207.0,327563.0,325841.0,324151.0,322172.0,320767.0,313308.0,296652.0,282822.0,262852.0,239577.0,219347.0,198656.0,180997.0,173265.0,163231.0,150963.0,132414.0,107284.0,98431.0,88159.0,67562.0,50083.0,45467.0,59701.0,73830.0,74611.0,74665.0,71038.0,62269.0,59064.0,49622.0,37797.0,34108.0,254655.0,30243172.0
2014,671188.0,642026.0,622927.0,624812.0,639132.0,642819.0,620386.0,574736.0,535942.0,527432.0,514744.0,510120.0,511255.0,507461.0,521702.0,532357.0,560588.0,600197.0,630314.0,634739.0,634185.0,653094.0,666813.0,655821.0,624749.0,616054.0,623464.0,622652.0,606117.0,574364.0,539171.0,509693.0,491272.0,473663.0,458640.0,443553.0,422185.0,419238.0,415096.0,395799.0,388652.0,389755.0,386008.0,370430.0,344676.0,335443.0,329765.0,322755.0,325623.0,324129.0,322228.0,320097.0,318549.0,310881.0,294177.0,280147.0,260105.0,236816.0,216478.0,195905.0,178032.0,170173.0,159983.0,147590.0,129288.0,104485.0,95540.0,85431.0,65411.0,48405.0,43723.0,57296.0,70632.0,70767.0,70431.0,66748.0,58050.0,54881.0,45761.0,34401.0,257522.0,30757669.0
2015,700155.0,676551.0,643187.0,623802.0,625481.0,639685.0,643431.0,621550.0,574827.0,535765.0,527217.0,514500.0,509791.0,510914.0,507136.0,521321.0,531540.0,559918.0,599432.0,629297.0,633605.0,632948.0,651798.0,665439.0,654370.0,623292.0,614595.0,621909.0,621071.0,604498.0,572902.0,537739.0,508330.0,489876.0,472270.0,457325.0,442210.0,420896.0,417906.0,413755.0,394463.0,387317.0,388477.0,384661.0,369012.0,343204.0,334031.0,328288.0,321177.0,323939.0,322226.0,320255.0,317893.0,316228.0,308336.0,291456.0,277298.0,257245.0,233774.0,213535.0,192824.0,175056.0,166956.0,156565.0,144226.0,126126.0,101562.0,92623.0,82682.0,63339.0,46746.0,42158.0,54736.0,67300.0,66958.0,66115.0,62497.0,53900.0,50788.0,41997.0,258726.0,31298929.0
2016,705055.0,704946.0,677542.0,643959.0,624433.0,626026.0,640392.0,644813.0,621755.0,574701.0,535586.0,527014.0,514251.0,509550.0,510599.0,506810.0,520667.0,530939.0,559223.0,598532.0,628319.0,632492.0,631831.0,650583.0,664162.0,653094.0,622080.0,613284.0,620470.0,619616.0,603122.0,571531.0,536434.0,507029.0,488580.0,470982.0,456065.0,440979.0,419614.0,416600.0,412466.0,393199.0,386024.0,387197.0,383287.0,367576.0,341821.0,332606.0,326755.0,319564.0,322144.0,320333.0,318154.0,315680.0,313839.0,305646.0,288571.0,274326.0,254108.0,230709.0,210384.0,189774.0,171953.0,163570.0,153179.0,140818.0,122818.0,98651.0,89709.0,79942.0,61263.0,45187.0,40392.0,52139.0,64020.0,63082.0,61793.0,58353.0,49705.0,46902.0,266599.0,31847898.0
2017,693105.0,710096.0,706303.0,678586.0,644895.0,625267.0,626954.0,641984.0,645304.0,621859.0,574644.0,535477.0,526855.0,514129.0,509338.0,510394.0,506345.0,520185.0,530386.0,558468.0,597672.0,627355.0,631547.0,630804.0,649496.0,663072.0,652057.0,620955.0,612061.0,619248.0,618398.0,601899.0,570325.0,535259.0,505848.0,487426.0,469830.0,454941.0,439831.0,418425.0,415376.0,411244.0,391956.0,384773.0,385891.0,381893.0,366160.0,340361.0,331106.0,325185.0,317859.0,320275.0,318280.0,315963.0,313331.0,311244.0,302746.0,285414.0,271102.0,250834.0,227395.0,207106.0,186469.0,168519.0,160170.0,149444.0,137197.0,119304.0,95669.0,86729.0,77059.0,58989.0,43371.0,38681.0,49485.0,60616.0,59004.0,57456.0,53953.0,45479.0,278452.0,32388563.0
