2005;60772216.0
2006;61274055.31937101
2007;61692339.55501387
2008;62121495.29315558
2009;62607752.764548115
2010;63077802.465021335
2011;63562220.579804584
2012;63965070.71059148
2013;64308013.52683867
2014;64715985.54546208
2015;65203721.003047496
2016;65602678.116694875
2017;66031688.867960185
2018;66377678.68339001
2019;66690666.71919008
2020;66995806.82837014
2021;67056205.00750368
2022;67399663.75421025
2023;68081788.41332152
2024;68371769.5741606
2025;68674816.02665219
2026;68934823.15644601
2027;70098978.75093102
2028;70065613.74675877
2029;69803743.48374926
2030;69977014.65508932
2031;70033316.06697154
2032;70296007.0522982
2033;70616344.6814036
2034;70935380.38126136
2035;71210605.64952028
2036;71559609.28197183
2037;72032671.7942723
2038;72361384.03907363
2039;72747610.82263514
2040;73007909.75441855
2041;73422285.34706868
2042;73654746.45043334
2043;73976992.72825646
2044;74150225.07159196
2045;74356073.14347291
2046;74451940.65552032
2047;74558320.66769648
2048;74651876.39319222
2049;74730772.57377067
2050;74854205.19489725
