year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80 +,Total
2013,802752.5,811952.0,808049.5,790554.0,792029.0,781520.0,772050.5,737790.0,728143.5,699769.0,692810.5,687650.0,698021.0,727238.0,736552.0,760186.0,767277.0,772366.0,784290.0,813749.0,831344.5,868430.0,879702.0,873489.0,880037.0,871819.0,871732.0,873378.0,871907.0,861558.0,865435.0,870818.0,873928.5,858426.0,835889.5,778376.0,779045.0,795196.0,802593.0,835943.0,854275.0,906529.0,908400.0,912382.0,917815.5,931662.0,934549.0,942514.0,941866.5,929006.0,918709.0,885669.0,868659.0,828172.0,818101.0,787222.0,771887.5,732976.0,725010.0,717491.0,708249.0,696334.0,698989.0,722936.0,734500.0,803731.0,768319.0,637615.0,628822.5,606490.0,576444.5,499944.0,486780.0,488593.0,478449.5,460427.0,442513.5,415740.0,395595.5,365431.0,3020340.5,64012935.5
2014,1222754.0,1158200.0,1243181.0,1277364.0,1229529.0,1150033.0,1189639.0,1114205.0,1104857.0,992944.0,1093227.0,856942.0,1008060.0,909864.0,1052350.0,817545.0,866057.0,750280.0,852609.0,670142.0,836438.0,564581.0,658811.0,543989.0,584792.0,576615.0,475370.0,477005.0,574109.0,383077.0,607694.0,304498.0,431841.0,250196.0,357510.0,435124.0,279273.0,257145.0,315493.0,248802.0,416407.0,195357.0,268931.0,187813.0,203909.0,272944.0,169598.0,146825.0,198473.0,133284.0,262881.0,121701.0,178993.0,101343.0,143185.0,124004.0,113926.0,79251.0,92870.0,70233.0,169033.0,57684.0,83838.0,54488.0,75010.0,92038.0,56242.0,53203.0,53647.0,46020.0,118088.0,31348.0,48284.0,32872.0,46644.0,49726.0,28374.0,20807.0,30993.0,20573.0,369562.0,34742547.0
2015,778730.0,787230.0,807211.5,825607.0,821663.5,801310.0,800399.0,797008.0,768440.0,758536.0,724034.0,707425.0,701449.5,695902.0,707093.5,736156.0,746979.0,770123.0,781361.5,793453.0,817629.0,840371.0,860727.0,895615.0,905297.0,888889.0,889014.0,891355.0,878540.0,885339.0,875255.0,868351.0,872218.0,875766.0,878882.5,861274.0,814747.0,798424.0,782255.0,790433.5,812064.0,837359.0,856190.0,907898.0,910190.0,913331.0,925296.0,928771.5,938312.0,940240.0,941748.0,927541.0,917152.0,883255.0,866223.5,824841.0,806702.0,793688.0,754833.0,739609.0,714430.0,710437.0,701108.5,688207.0,690484.0,712338.0,739419.0,760525.0,725462.0,669487.5,610863.0,588255.0,557351.5,481063.0,466764.5,466298.0,455170.0,437919.5,409801.0,390398.5,3097904.5,64979424.0
2016,775877.0,784252.0,794767.0,822208.0,829709.5,826731.5,813567.5,804032.0,800733.0,771663.0,748721.0,727565.0,721521.0,695455.0,699810.0,718818.0,740650.0,753048.5,778156.0,795049.0,809298.0,832758.0,850367.0,880490.0,897891.0,912510.0,899018.0,900605.5,892280.0,891716.5,889962.0,879609.0,877132.0,875212.0,877518.0,881422.0,863094.0,840427.5,782119.0,783330.5,798471.0,812336.0,825801.0,874888.0,892275.0,912429.0,913679.0,919724.0,932019.0,934957.5,941744.0,940892.0,932808.0,906555.0,892996.0,848922.0,822525.0,811894.5,780221.0,764382.0,724121.0,710820.0,706675.0,691521.0,685052.0,691896.0,705892.0,715149.0,780260.0,743136.0,613793.0,601350.0,584052.5,526427.0,492369.5,451782.0,453834.0,440357.5,419868.0,398801.0,3154282.5,65470052.0
2017,769888.5,785527.0,791994.0,802109.0,828855.0,835164.5,822067.0,817911.5,808044.0,804812.0,775830.0,752967.0,744750.5,715633.0,710088.0,704798.0,724475.0,738664.5,767370.0,785750.0,814807.0,822769.0,838725.0,866379.0,880186.5,911299.0,914331.0,911172.5,903068.0,902360.5,889709.0,892690.0,888657.0,874447.0,876297.5,879228.0,882522.0,874192.5,818026.0,801310.5,784456.0,799044.0,807016.5,839296.0,858353.0,909569.0,913413.0,913961.0,925231.0,928649.5,937582.0,940678.0,939776.5,924679.0,914056.0,879052.0,846172.0,831829.5,800958.0,787706.5,748350.0,720420.0,711937.5,702167.0,692255.0,677549.0,684905.0,688369.5,723200.0,742381.0,705783.0,603428.0,591834.0,565969.0,534246.0,458461.0,438675.0,432631.5,425599.0,406630.0,3222495.5,65887640.0
2018,768431.0,777830.0,792428.0,798299.0,811766.0,834111.0,840862.0,826345.0,813666.0,812150.0,801653.0,780125.0,757439.0,736346.0,720098.0,704864.0,709643.0,730310.0,754755.0,779280.0,805843.0,826233.0,834269.0,854261.0,874065.0,892919.0,917061.0,919576.0,907471.0,907671.0,900379.0,892473.0,895166.0,884122.0,875903.0,878065.0,880930.0,883792.0,865959.0,819335.0,784445.0,785354.0,800350.0,814776.0,840465.0,877197.0,910388.0,914017.0,914361.0,925550.0,931852.0,937313.0,940124.0,938637.0,923588.0,903015.0,877263.0,844235.0,817095.0,798442.0,774049.0,745109.0,717040.0,702986.0,697964.0,681496.0,671931.0,678611.0,691186.0,714964.0,759835.0,695538.0,593498.0,579303.0,554398.0,502282.0,446735.0,426008.0,424992.0,410099.0,3261191.0,66273576.0
