"Country or Area","Year","Sex","Age","Value","Value Footnotes"
"United States of America","2016","Both Sexes","80 - 84","5865639","1,2"
"United States of America","2016","Both Sexes","81","1284298","1,2"
"United States of America","2016","Both Sexes","82","1135109","1,2"
"United States of America","2016","Both Sexes","83","1079082","1,2"
"United States of America","2016","Both Sexes","84","1008890","1,2"
"United States of America","2016","Both Sexes","85","938333","1,2"
"United States of America","2016","Both Sexes","85 - 89","3885222","1,2"
"United States of America","2016","Both Sexes","86","876190","1,2"
"United States of America","2016","Both Sexes","87","766479","1,2"
"United States of America","2016","Both Sexes","88","693882","1,2"
"United States of America","2016","Both Sexes","89","610338","1,2"
"United States of America","2016","Both Sexes","90","520906","1,2"
"United States of America","2016","Both Sexes","90 - 94","1882830","1,2"
"United States of America","2016","Both Sexes","91","449986","1,2"
"United States of America","2016","Both Sexes","92","372625","1,2"
"United States of America","2016","Both Sexes","93","300000","1,2"
"United States of America","2016","Both Sexes","94","239313","1,2"
"United States of America","2016","Both Sexes","95","186408","1,2"
"United States of America","2016","Both Sexes","95 - 99","530383","1,2"
"United States of America","2016","Both Sexes","96","135797","1,2"
"United States of America","2016","Both Sexes","97","94311","1,2"
"United States of America","2016","Both Sexes","98","68972","1,2"
"United States of America","2016","Both Sexes","99","44895","1,2"
"United States of America","2016","Both Sexes","100 +","81896","1,2"
"United States of America","2016","Male","Total","159078923","1,2"
"United States of America","2016","Male","0","2030478","1,2"
"United States of America","2016","Male","0 - 4","10186853","1,2"
"United States of America","2016","Male","1","2041158","1,2"
"United States of America","2016","Male","1 - 4","8156375","1,2"
"United States of America","2016","Male","2","2043022","1,2"
"United States of America","2016","Male","3","2034666","1,2"
"United States of America","2016","Male","4","2037529","1,2"
"United States of America","2016","Male","5","2062134","1,2"
"United States of America","2016","Male","5 - 9","10429923","1,2"
"United States of America","2016","Male","6","2056414","1,2"
"United States of America","2016","Male","7","2055665","1,2"
"United States of America","2016","Male","8","2122016","1,2"
