"Country or Area","Year","Sex","Age","Value","Value Footnotes"
"United States of America","2008","Both Sexes","1","4275764","1"
"United States of America","2008","Both Sexes","1 - 4","16692720","1"
"United States of America","2008","Both Sexes","2","4170892","1"
"United States of America","2008","Both Sexes","3","4122109","1"
"United States of America","2008","Both Sexes","4","4123955","1"
"United States of America","2008","Both Sexes","5","4076460","1"
"United States of America","2008","Both Sexes","5 - 9","20065249","1"
"United States of America","2008","Both Sexes","6","4044248","1"
"United States of America","2008","Both Sexes","7","4099843","1"
"United States of America","2008","Both Sexes","8","3945016","1"
"United States of America","2008","Both Sexes","9","3899682","1"
"United States of America","2008","Both Sexes","10","3908489","1"
"United States of America","2008","Both Sexes","10 - 14","20054627","1"
"United States of America","2008","Both Sexes","11","3933831","1"
"United States of America","2008","Both Sexes","12","4016358","1"
"United States of America","2008","Both Sexes","13","4080712","1"
"United States of America","2008","Both Sexes","14","4115237","1"
"United States of America","2008","Both Sexes","15","4199941","1"
"United States of America","2008","Both Sexes","15 - 19","21514358","1"
"United States of America","2008","Both Sexes","16","4272369","1"
"United States of America","2008","Both Sexes","17","4343810","1"
"United States of America","2008","Both Sexes","18","4425810","1"
"United States of America","2008","Both Sexes","19","4272428","1"
"United States of America","2008","Both Sexes","20","4216817","1"
"United States of America","2008","Both Sexes","20 - 24","21058981","1"
"United States of America","2008","Both Sexes","21","4185936","1"
"United States of America","2008","Both Sexes","22","4221753","1"
"United States of America","2008","Both Sexes","23","4251279","1"
"United States of America","2008","Both Sexes","24","4183196","1"
"United States of America","2008","Both Sexes","25","4259271","1"
"United States of America","2008","Both Sexes","25 - 29","21333743","1"
"United States of America","2008","Both Sexes","26","4292584","1"
"United States of America","2008","Both Sexes","27","4337428","1"
"United States of America","2008","Both Sexes","28","4325469","1"
"United States of America","2008","Both Sexes","29","4118991","1"
"United States of America","2008","Both Sexes","30","4004532","1"
"United States of America","2008","Both Sexes","30 - 34","19597822","1"
"United States of America","2008","Both Sexes","31","3948847","1"
"United States of America","2008","Both Sexes","32","3848954","1"
"United States of America","2008","Both Sexes","33","3955863","1"
"United States of America","2008","Both Sexes","34","3839626","1"
"United States of America","2008","Both Sexes","35","3930785","1"
"United States of America","2008","Both Sexes","35 - 39","20993781","1"
"United States of America","2008","Both Sexes","36","4117658","1"
"United States of America","2008","Both Sexes","37","4343589","1"
"United States of America","2008","Both Sexes","38","4422993","1"
"United States of America","2008","Both Sexes","39","4178756","1"
"United States of America","2008","Both Sexes","40","4100699","1"
"United States of America","2008","Both Sexes","40 - 44","21507349","1"
"United States of America","2008","Both Sexes","41","4108835","1"
"United States of America","2008","Both Sexes","42","4221923","1"
"United States of America","2008","Both Sexes","43","4505976","1"
"United States of America","2008","Both Sexes","44","4569916","1"
"United States of America","2008","Both Sexes","45","4550719","1"
"United States of America","2008","Both Sexes","45 - 49","22879874","1"
"United States of America","2008","Both Sexes","46","4561403","1"
"United States of America","2008","Both Sexes","47","4603406","1"
"United States of America","2008","Both Sexes","48","4680217","1"
"United States of America","2008","Both Sexes","49","4484129","1"
"United States of America","2008","Both Sexes","50","4484204","1"
"United States of America","2008","Both Sexes","50 - 54","21492191","1"
"United States of America","2008","Both Sexes","51","4426140","1"
"United States of America","2008","Both Sexes","52","4248664","1"
"United States of America","2008","Both Sexes","53","4262115","1"
"United States of America","2008","Both Sexes","54","4071068","1"
"United States of America","2008","Both Sexes","55","3930114","1"
"United States of America","2008","Both Sexes","55 - 59","18583445","1"
"United States of America","2008","Both Sexes","56","3792045","1"
"United States of America","2008","Both Sexes","57","3685807","1"
"United States of America","2008","Both Sexes","58","3664396","1"
"United States of America","2008","Both Sexes","59","3511083","1"
"United States of America","2008","Both Sexes","60","3471732","1"
"United States of America","2008","Both Sexes","60 - 64","15102736","1"
"United States of America","2008","Both Sexes","61","3638390","1"
"United States of America","2008","Both Sexes","62","2694150","1"
"United States of America","2008","Both Sexes","63","2676741","1"
"United States of America","2008","Both Sexes","64","2621723","1"
"United States of America","2008","Both Sexes","65","2702067","1"
"United States of America","2008","Both Sexes","65 - 69","11348682","1"
"United States of America","2008","Both Sexes","66","2366613","1"
"United States of America","2008","Both Sexes","67","2182750","1"
"United States of America","2008","Both Sexes","68","2108945","1"
"United States of America","2008","Both Sexes","69","1988307","1"
"United States of America","2008","Both Sexes","70","1934466","1"
"United States of America","2008","Both Sexes","70 - 74","8774259","1"
"United States of America","2008","Both Sexes","71","1801027","1"
"United States of America","2008","Both Sexes","72","1748173","1"
"United States of America","2008","Both Sexes","73","1731748","1"
"United States of America","2008","Both Sexes","74","1558845","1"
"United States of America","2008","Both Sexes","75","1539704","1"
"United States of America","2008","Both Sexes","75 - 79","7275163","1"
"United States of America","2008","Both Sexes","76","1495722","1"
"United States of America","2008","Both Sexes","77","1454472","1"
"United States of America","2008","Both Sexes","78","1451035","1"
"United States of America","2008","Both Sexes","79","1334230","1"
"United States of America","2008","Both Sexes","80","1298256","1"
"United States of America","2008","Both Sexes","80 - 84","5749844","1"
"United States of America","2008","Both Sexes","81","1226440","1"
"United States of America","2008","Both Sexes","82","1137921","1"
"United States of America","2008","Both Sexes","83","1091460","1"
"United States of America","2008","Both Sexes","84","995767","1"
"United States of America","2008","Both Sexes","85","890770","1"
"United States of America","2008","Both Sexes","85 - 89","3571977","1"
"United States of America","2008","Both Sexes","86","815696","1"
"United States of America","2008","Both Sexes","87","725683","1"
"United States of America","2008","Both Sexes","88","639790","1"
"United States of America","2008","Both Sexes","89","500038","1"
"United States of America","2008","Both Sexes","90","452671","1"
"United States of America","2008","Both Sexes","90 - 94","1574705","1"
"United States of America","2008","Both Sexes","91","361078","1"
"United States of America","2008","Both Sexes","92","301989","1"
"United States of America","2008","Both Sexes","93","255394","1"
"United States of America","2008","Both Sexes","94","203573","1"
"United States of America","2008","Both Sexes","95","159836","1"
"United States of America","2008","Both Sexes","95 - 99","482959","1"
"United States of America","2008","Both Sexes","96","120337","1"
"United States of America","2008","Both Sexes","97","91000","1"
"United States of America","2008","Both Sexes","98","67241","1"
"United States of America","2008","Both Sexes","99","44545","1"
"United States of America","2008","Both Sexes","100 +","92127","1"
"United States of America","2008","Male","Total","149924604","1"
"United States of America","2008","Male","0","2207690","1"
"United States of America","2008","Male","0 - 4","10747858","1"
"United States of America","2008","Male","1","2188059","1"
"United States of America","2008","Male","1 - 4","8540168","1"
"United States of America","2008","Male","2","2133612","1"
"United States of America","2008","Male","3","2109367","1"
"United States of America","2008","Male","4","2109130","1"
"United States of America","2008","Male","5","2085378","1"
"United States of America","2008","Male","5 - 9","10259114","1"
"United States of America","2008","Male","6","2066325","1"
"United States of America","2008","Male","7","2094373","1"
"United States of America","2008","Male","8","2019291","1"
"United States of America","2008","Male","9","1993747","1"
"United States of America","2008","Male","10","1999151","1"
"United States of America","2008","Male","10 - 14","10262469","1"
"United States of America","2008","Male","11","2010203","1"
"United States of America","2008","Male","12","2055416","1"
"United States of America","2008","Male","13","2090428","1"
"United States of America","2008","Male","14","2107271","1"
"United States of America","2008","Male","15","2152832","1"
"United States of America","2008","Male","15 - 19","11027264","1"
"United States of America","2008","Male","16","2186095","1"
"United States of America","2008","Male","17","2225149","1"
"United States of America","2008","Male","18","2270768","1"
"United States of America","2008","Male","19","2192420","1"
"United States of America","2008","Male","20","2164893","1"
"United States of America","2008","Male","20 - 24","10845428","1"
"United States of America","2008","Male","21","2151245","1"
"United States of America","2008","Male","22","2174247","1"
"United States of America","2008","Male","23","2192651","1"
"United States of America","2008","Male","24","2162392","1"
"United States of America","2008","Male","25","2205605","1"
"United States of America","2008","Male","25 - 29","10940956","1"
"United States of America","2008","Male","26","2210999","1"
"United States of America","2008","Male","27","2214859","1"
"United States of America","2008","Male","28","2206567","1"
"United States of America","2008","Male","29","2102926","1"
"United States of America","2008","Male","30","2043452","1"
"United States of America","2008","Male","30 - 34","9959083","1"
"United States of America","2008","Male","31","2009743","1"
"United States of America","2008","Male","32","1956621","1"
"United States of America","2008","Male","33","2007057","1"
"United States of America","2008","Male","34","1942210","1"
"United States of America","2008","Male","35","1982035","1"
"United States of America","2008","Male","35 - 39","10568801","1"
"United States of America","2008","Male","36","2075061","1"
"United States of America","2008","Male","37","2180621","1"
"United States of America","2008","Male","38","2230516","1"
"United States of America","2008","Male","39","2100568","1"
"United States of America","2008","Male","40","2056653","1"
"United States of America","2008","Male","40 - 44","10745556","1"
"United States of America","2008","Male","41","2054039","1"
"United States of America","2008","Male","42","2111751","1"
"United States of America","2008","Male","43","2252123","1"
"United States of America","2008","Male","44","2270990","1"
"United States of America","2008","Male","45","2253964","1"
"United States of America","2008","Male","45 - 49","11314075","1"
"United States of America","2008","Male","46","2259676","1"
"United States of America","2008","Male","47","2272187","1"
"United States of America","2008","Male","48","2319325","1"
"United States of America","2008","Male","49","2208923","1"
"United States of America","2008","Male","50","2208402","1"
"United States of America","2008","Male","50 - 54","10538558","1"
"United States of America","2008","Male","51","2172150","1"
"United States of America","2008","Male","52","2080366","1"
"United States of America","2008","Male","53","2092189","1"
"United States of America","2008","Male","54","1985451","1"
"United States of America","2008","Male","55","1912228","1"
"United States of America","2008","Male","55 - 59","9014715","1"
"United States of America","2008","Male","56","1844280","1"
"United States of America","2008","Male","57","1786224","1"
"United States of America","2008","Male","58","1777163","1"
"United States of America","2008","Male","59","1694820","1"
"United States of America","2008","Male","60","1673823","1"
"United States of America","2008","Male","60 - 64","7235924","1"
"United States of America","2008","Male","61","1754692","1"
"United States of America","2008","Male","62","1287764","1"
"United States of America","2008","Male","63","1276516","1"
"United States of America","2008","Male","64","1243129","1"
"United States of America","2008","Male","65","1277532","1"
"United States of America","2008","Male","65 - 69","5306217","1"
"United States of America","2008","Male","66","1110498","1"
"United States of America","2008","Male","67","1018081","1"
"United States of America","2008","Male","68","979692","1"
"United States of America","2008","Male","69","920414","1"
"United States of America","2008","Male","70","888121","1"
"United States of America","2008","Male","70 - 74","3958711","1"
"United States of America","2008","Male","71","819904","1"
"United States of America","2008","Male","72","788451","1"
"United States of America","2008","Male","73","773821","1"
"United States of America","2008","Male","74","688414","1"
"United States of America","2008","Male","75","671805","1"
"United States of America","2008","Male","75 - 79","3096817","1"
"United States of America","2008","Male","76","645449","1"
"United States of America","2008","Male","77","619385","1"
"United States of America","2008","Male","78","608857","1"
"United States of America","2008","Male","79","551321","1"
"United States of America","2008","Male","80","526851","1"
"United States of America","2008","Male","80 - 84","2239493","1"
"United States of America","2008","Male","81","488633","1"
"United States of America","2008","Male","82","441464","1"
"United States of America","2008","Male","83","413678","1"
"United States of America","2008","Male","84","368867","1"
"United States of America","2008","Male","85","325251","1"
"United States of America","2008","Male","85 - 89","1247456","1"
"United States of America","2008","Male","86","290680","1"
"United States of America","2008","Male","87","252695","1"
"United States of America","2008","Male","88","215833","1"
"United States of America","2008","Male","89","162997","1"
"United States of America","2008","Male","90","145551","1"
"United States of America","2008","Male","90 - 94","476402","1"
"United States of America","2008","Male","91","111694","1"
"United States of America","2008","Male","92","89464","1"
"United States of America","2008","Male","93","73488","1"
"United States of America","2008","Male","94","56205","1"
"United States of America","2008","Male","95","42076","1"
"United States of America","2008","Male","95 - 99","120471","1"
"United States of America","2008","Male","96","30732","1"
"United States of America","2008","Male","97","21879","1"
"United States of America","2008","Male","98","15943","1"
"United States of America","2008","Male","99","9841","1"
"United States of America","2008","Male","100 +","19236","1"
"United States of America","2008","Female","Total","154135120","1"
"United States of America","2008","Female","0","2105442","1"
"United States of America","2008","Female","0 - 4","10257994","1"
"United States of America","2008","Female","1","2087705","1"
"United States of America","2008","Female","1 - 4","8152552","1"
"United States of America","2008","Female","2","2037280","1"
"United States of America","2008","Female","3","2012742","1"
"United States of America","2008","Female","4","2014825","1"
"United States of America","2008","Female","5","1991082","1"
"United States of America","2008","Female","5 - 9","9806135","1"
"United States of America","2008","Female","6","1977923","1"
"United States of America","2008","Female","7","2005470","1"
"United States of America","2008","Female","8","1925725","1"
"United States of America","2008","Female","9","1905935","1"
"United States of America","2008","Female","10","1909338","1"
"United States of America","2008","Female","10 - 14","9792158","1"
"United States of America","2008","Female","11","1923628","1"
"United States of America","2008","Female","12","1960942","1"
"United States of America","2008","Female","13","1990284","1"
"United States of America","2008","Female","14","2007966","1"
"United States of America","2008","Female","15","2047109","1"
"United States of America","2008","Female","15 - 19","10487094","1"
"United States of America","2008","Female","16","2086274","1"
"United States of America","2008","Female","17","2118661","1"
"United States of America","2008","Female","18","2155042","1"
"United States of America","2008","Female","19","2080008","1"
"United States of America","2008","Female","20","2051924","1"
"United States of America","2008","Female","20 - 24","10213553","1"
"United States of America","2008","Female","21","2034691","1"
"United States of America","2008","Female","22","2047506","1"
"United States of America","2008","Female","23","2058628","1"
"United States of America","2008","Female","24","2020804","1"
"United States of America","2008","Female","25","2053666","1"
"United States of America","2008","Female","25 - 29","10392787","1"
"United States of America","2008","Female","26","2081585","1"
"United States of America","2008","Female","27","2122569","1"
"United States of America","2008","Female","28","2118902","1"
"United States of America","2008","Female","29","2016065","1"
"United States of America","2008","Female","30","1961080","1"
"United States of America","2008","Female","30 - 34","9638739","1"
"United States of America","2008","Female","31","1939104","1"
"United States of America","2008","Female","32","1892333","1"
"United States of America","2008","Female","33","1948806","1"
"United States of America","2008","Female","34","1897416","1"
"United States of America","2008","Female","35","1948750","1"
"United States of America","2008","Female","35 - 39","10424980","1"
"United States of America","2008","Female","36","2042597","1"
"United States of America","2008","Female","37","2162968","1"
"United States of America","2008","Female","38","2192477","1"
"United States of America","2008","Female","39","2078188","1"
"United States of America","2008","Female","40","2044046","1"
"United States of America","2008","Female","40 - 44","10761793","1"
"United States of America","2008","Female","41","2054796","1"
"United States of America","2008","Female","42","2110172","1"
"United States of America","2008","Female","43","2253853","1"
"United States of America","2008","Female","44","2298926","1"
"United States of America","2008","Female","45","2296755","1"
"United States of America","2008","Female","45 - 49","11565799","1"
"United States of America","2008","Female","46","2301727","1"
"United States of America","2008","Female","47","2331219","1"
"United States of America","2008","Female","48","2360892","1"
"United States of America","2008","Female","49","2275206","1"
"United States of America","2008","Female","50","2275802","1"
"United States of America","2008","Female","50 - 54","10953633","1"
"United States of America","2008","Female","51","2253990","1"
"United States of America","2008","Female","52","2168298","1"
"United States of America","2008","Female","53","2169926","1"
"United States of America","2008","Female","54","2085617","1"
"United States of America","2008","Female","55","2017886","1"
"United States of America","2008","Female","55 - 59","9568730","1"
"United States of America","2008","Female","56","1947765","1"
"United States of America","2008","Female","57","1899583","1"
"United States of America","2008","Female","58","1887233","1"
"United States of America","2008","Female","59","1816263","1"
"United States of America","2008","Female","60","1797909","1"
"United States of America","2008","Female","60 - 64","7866812","1"
"United States of America","2008","Female","61","1883698","1"
"United States of America","2008","Female","62","1406386","1"
"United States of America","2008","Female","63","1400225","1"
"United States of America","2008","Female","64","1378594","1"
"United States of America","2008","Female","65","1424535","1"
"United States of America","2008","Female","65 - 69","6042465","1"
"United States of America","2008","Female","66","1256115","1"
"United States of America","2008","Female","67","1164669","1"
"United States of America","2008","Female","68","1129253","1"
"United States of America","2008","Female","69","1067893","1"
"United States of America","2008","Female","70","1046345","1"
"United States of America","2008","Female","70 - 74","4815548","1"
"United States of America","2008","Female","71","981123","1"
"United States of America","2008","Female","72","959722","1"
"United States of America","2008","Female","73","957927","1"
"United States of America","2008","Female","74","870431","1"
"United States of America","2008","Female","75","867899","1"
"United States of America","2008","Female","75 - 79","4178346","1"
"United States of America","2008","Female","76","850273","1"
"United States of America","2008","Female","77","835087","1"
"United States of America","2008","Female","78","842178","1"
"United States of America","2008","Female","79","782909","1"
"United States of America","2008","Female","80","771405","1"
"United States of America","2008","Female","80 - 84","3510351","1"
"United States of America","2008","Female","81","737807","1"
"United States of America","2008","Female","82","696457","1"
"United States of America","2008","Female","83","677782","1"
"United States of America","2008","Female","84","626900","1"
"United States of America","2008","Female","85","565519","1"
"United States of America","2008","Female","85 - 89","2324521","1"
"United States of America","2008","Female","86","525016","1"
"United States of America","2008","Female","87","472988","1"
"United States of America","2008","Female","88","423957","1"
"United States of America","2008","Female","89","337041","1"
"United States of America","2008","Female","90","307120","1"
"United States of America","2008","Female","90 - 94","1098303","1"
"United States of America","2008","Female","91","249384","1"
"United States of America","2008","Female","92","212525","1"
"United States of America","2008","Female","93","181906","1"
"United States of America","2008","Female","94","147368","1"
"United States of America","2008","Female","95","117760","1"
"United States of America","2008","Female","95 - 99","362488","1"
"United States of America","2008","Female","96","89605","1"
"United States of America","2008","Female","97","69121","1"
"United States of America","2008","Female","98","51298","1"
"United States of America","2008","Female","99","34704","1"
"United States of America","2008","Female","100 +","72891","1"
"United States of America","2007","Both Sexes","Total","301621157","1"
"United States of America","2007","Both Sexes","0","4257020","1"
"United States of America","2007","Both Sexes","0 - 4","20724125","1"
"United States of America","2007","Both Sexes","1","4182171","1"
"United States of America","2007","Both Sexes","1 - 4","16467105","1"
"United States of America","2007","Both Sexes","2","4110458","1"
"United States of America","2007","Both Sexes","3","4111354","1"
"United States of America","2007","Both Sexes","4","4063122","1"
"United States of America","2007","Both Sexes","5","4031709","1"
"United States of America","2007","Both Sexes","5 - 9","19849628","1"
"United States of America","2007","Both Sexes","6","4089126","1"
"United States of America","2007","Both Sexes","7","3935663","1"
"United States of America","2007","Both Sexes","8","3891755","1"
"United States of America","2007","Both Sexes","9","3901375","1"
"United States of America","2007","Both Sexes","10","3927298","1"
"United States of America","2007","Both Sexes","10 - 14","20314309","1"
"United States of America","2007","Both Sexes","11","4010171","1"
"United States of America","2007","Both Sexes","12","4074587","1"
"United States of America","2007","Both Sexes","13","4108962","1"
"United States of America","2007","Both Sexes","14","4193291","1"
"United States of America","2007","Both Sexes","15","4264883","1"
"United States of America","2007","Both Sexes","15 - 19","21473690","1"
"United States of America","2007","Both Sexes","16","4334265","1"
"United States of America","2007","Both Sexes","17","4414523","1"
"United States of America","2007","Both Sexes","18","4257957","1"
"United States of America","2007","Both Sexes","19","4202062","1"
"United States of America","2007","Both Sexes","20","4168920","1"
"United States of America","2007","Both Sexes","20 - 24","21032396","1"
"United States of America","2007","Both Sexes","21","4205055","1"
"United States of America","2007","Both Sexes","22","4237049","1"
"United States of America","2007","Both Sexes","23","4171964","1"
"United States of America","2007","Both Sexes","24","4249408","1"
"United States of America","2007","Both Sexes","25","4285927","1"
"United States of America","2007","Both Sexes","25 - 29","21057706","1"
"United States of America","2007","Both Sexes","26","4332119","1"
"United States of America","2007","Both Sexes","27","4321055","1"
"United States of America","2007","Both Sexes","28","4116413","1"
"United States of America","2007","Both Sexes","29","4002192","1"
"United States of America","2007","Both Sexes","30","3948892","1"
"United States of America","2007","Both Sexes","30 - 34","19533220","1"
"United States of America","2007","Both Sexes","31","3850843","1"
"United States of America","2007","Both Sexes","32","3958342","1"
"United States of America","2007","Both Sexes","33","3842496","1"
"United States of America","2007","Both Sexes","34","3932647","1"
"United States of America","2007","Both Sexes","35","4118744","1"
"United States of America","2007","Both Sexes","35 - 39","21176460","1"
"United States of America","2007","Both Sexes","36","4345791","1"
"United States of America","2007","Both Sexes","37","4426493","1"
"United States of America","2007","Both Sexes","38","4181974","1"
"United States of America","2007","Both Sexes","39","4103458","1"
"United States of America","2007","Both Sexes","40","4112715","1"
"United States of America","2007","Both Sexes","40 - 44","21984829","1"
"United States of America","2007","Both Sexes","41","4227028","1"
"United States of America","2007","Both Sexes","42","4511585","1"
"United States of America","2007","Both Sexes","43","4576064","1"
"United States of America","2007","Both Sexes","44","4557437","1"
"United States of America","2007","Both Sexes","45","4569057","1"
"United States of America","2007","Both Sexes","45 - 49","22861373","1"
"United States of America","2007","Both Sexes","46","4612110","1"
"United States of America","2007","Both Sexes","47","4690534","1"
"United States of America","2007","Both Sexes","48","4494867","1"
"United States of America","2007","Both Sexes","49","4494805","1"
"United States of America","2007","Both Sexes","50","4438491","1"
"United States of America","2007","Both Sexes","50 - 54","21013387","1"
"United States of America","2007","Both Sexes","51","4262899","1"
"United States of America","2007","Both Sexes","52","4277668","1"
"United States of America","2007","Both Sexes","53","4087032","1"
"United States of America","2007","Both Sexes","54","3947297","1"
"United States of America","2007","Both Sexes","55","3811078","1"
"United States of America","2007","Both Sexes","55 - 59","18236259","1"
"United States of America","2007","Both Sexes","56","3706111","1"
"United States of America","2007","Both Sexes","57","3687286","1"
"United States of America","2007","Both Sexes","58","3534806","1"
"United States of America","2007","Both Sexes","59","3496978","1"
"United States of America","2007","Both Sexes","60","3666420","1"
"United States of America","2007","Both Sexes","60 - 64","14475817","1"
"United States of America","2007","Both Sexes","61","2720381","1"
"United States of America","2007","Both Sexes","62","2703725","1"
"United States of America","2007","Both Sexes","63","2651053","1"
"United States of America","2007","Both Sexes","64","2734238","1"
"United States of America","2007","Both Sexes","65","2399100","1"
"United States of America","2007","Both Sexes","65 - 69","10752441","1"
"United States of America","2007","Both Sexes","66","2214914","1"
"United States of America","2007","Both Sexes","67","2142539","1"
"United States of America","2007","Both Sexes","68","2023574","1"
"United States of America","2007","Both Sexes","69","1972314","1"
"United States of America","2007","Both Sexes","70","1840467","1"
"United States of America","2007","Both Sexes","70 - 74","8599708","1"
"United States of America","2007","Both Sexes","71","1790176","1"
"United States of America","2007","Both Sexes","72","1776569","1"
"United States of America","2007","Both Sexes","73","1604238","1"
"United States of America","2007","Both Sexes","74","1588258","1"
"United States of America","2007","Both Sexes","75","1547563","1"
"United States of America","2007","Both Sexes","75 - 79","7324882","1"
"United States of America","2007","Both Sexes","76","1509992","1"
"United States of America","2007","Both Sexes","77","1509624","1"
"United States of America","2007","Both Sexes","78","1394213","1"
"United States of America","2007","Both Sexes","79","1363490","1"
"United States of America","2007","Both Sexes","80","1294546","1"
"United States of America","2007","Both Sexes","80 - 84","5698629","1"
"United States of America","2007","Both Sexes","81","1207672","1"
"United States of America","2007","Both Sexes","82","1163523","1"
"United States of America","2007","Both Sexes","83","1068356","1"
"United States of America","2007","Both Sexes","84","964532","1"
"United States of America","2007","Both Sexes","85","891383","1"
"United States of America","2007","Both Sexes","85 - 89","3476545","1"
"United States of America","2007","Both Sexes","86","799869","1"
"United States of America","2007","Both Sexes","87","709668","1"
"United States of America","2007","Both Sexes","88","563202","1"
"United States of America","2007","Both Sexes","89","512423","1"
"United States of America","2007","Both Sexes","90","414958","1"
"United States of America","2007","Both Sexes","90 - 94","1502489","1"
"United States of America","2007","Both Sexes","91","351083","1"
"United States of America","2007","Both Sexes","92","300086","1"
"United States of America","2007","Both Sexes","93","242756","1"
"United States of America","2007","Both Sexes","94","193606","1"
"United States of America","2007","Both Sexes","95","148631","1"
"United States of America","2007","Both Sexes","95 - 99","452493","1"
"United States of America","2007","Both Sexes","96","114032","1"
"United States of America","2007","Both Sexes","97","85674","1"
"United States of America","2007","Both Sexes","98","58602","1"
"United States of America","2007","Both Sexes","99","45554","1"
"United States of America","2007","Both Sexes","100 +","80771","1"
"United States of America","2007","Male","Total","148658898","1"
"United States of America","2007","Male","0","2178808","1"
"United States of America","2007","Male","0 - 4","10602857","1"
"United States of America","2007","Male","1","2139194","1"
"United States of America","2007","Male","1 - 4","8424049","1"
"United States of America","2007","Male","2","2103558","1"
"United States of America","2007","Male","3","2102757","1"
"United States of America","2007","Male","4","2078540","1"
"United States of America","2007","Male","5","2059937","1"
"United States of America","2007","Male","5 - 9","10148578","1"
"United States of America","2007","Male","6","2088938","1"
"United States of America","2007","Male","7","2014505","1"
"United States of America","2007","Male","8","1989692","1"
"United States of America","2007","Male","9","1995506","1"
"United States of America","2007","Male","10","2006853","1"
"United States of America","2007","Male","10 - 14","10399927","1"
"United States of America","2007","Male","11","2052193","1"
"United States of America","2007","Male","12","2087233","1"
"United States of America","2007","Male","13","2104123","1"
"United States of America","2007","Male","14","2149525","1"
"United States of America","2007","Male","15","2182145","1"
"United States of America","2007","Male","15 - 19","11006869","1"
"United States of America","2007","Male","16","2219866","1"
"United States of America","2007","Male","17","2264262","1"
"United States of America","2007","Male","18","2183797","1"
"United States of America","2007","Male","19","2156799","1"
"United States of America","2007","Male","20","2141543","1"
"United States of America","2007","Male","20 - 24","10852937","1"
"United States of America","2007","Male","21","2165062","1"
"United States of America","2007","Male","22","2185766","1"
"United States of America","2007","Male","23","2158199","1"
"United States of America","2007","Male","24","2202367","1"
"United States of America","2007","Male","25","2209723","1"
"United States of America","2007","Male","25 - 29","10776189","1"
"United States of America","2007","Male","26","2214059","1"
"United States of America","2007","Male","27","2206081","1"
"United States of America","2007","Male","28","2102990","1"
"United States of America","2007","Male","29","2043336","1"
"United States of America","2007","Male","30","2010917","1"
"United States of America","2007","Male","30 - 34","9906361","1"
"United States of America","2007","Male","31","1958498","1"
"United States of America","2007","Male","32","2009087","1"
"United States of America","2007","Male","33","1944317","1"
"United States of America","2007","Male","34","1983542","1"
"United States of America","2007","Male","35","2076231","1"
"United States of America","2007","Male","35 - 39","10654911","1"
"United States of America","2007","Male","36","2182705","1"
"United States of America","2007","Male","37","2233448","1"
"United States of America","2007","Male","38","2103401","1"
"United States of America","2007","Male","39","2059126","1"
"United States of America","2007","Male","40","2057122","1"
"United States of America","2007","Male","40 - 44","10963823","1"
"United States of America","2007","Male","41","2115735","1"
"United States of America","2007","Male","42","2256373","1"
"United States of America","2007","Male","43","2275555","1"
"United States of America","2007","Male","44","2259038","1"
"United States of America","2007","Male","45","2265477","1"
"United States of America","2007","Male","45 - 49","11302842","1"
"United States of America","2007","Male","46","2278576","1"
"United States of America","2007","Male","47","2326671","1"
"United States of America","2007","Male","48","2216305","1"
"United States of America","2007","Male","49","2215813","1"
"United States of America","2007","Male","50","2180455","1"
"United States of America","2007","Male","50 - 54","10292071","1"
"United States of America","2007","Male","51","2089838","1"
"United States of America","2007","Male","52","2102427","1"
"United States of America","2007","Male","53","1995922","1"
"United States of America","2007","Male","54","1923429","1"
"United States of America","2007","Male","55","1856555","1"
"United States of America","2007","Male","55 - 59","8847222","1"
"United States of America","2007","Male","56","1799197","1"
"United States of America","2007","Male","57","1791838","1"
"United States of America","2007","Male","58","1709891","1"
"United States of America","2007","Male","59","1689741","1"
"United States of America","2007","Male","60","1772360","1"
"United States of America","2007","Male","60 - 64","6927866","1"
"United States of America","2007","Male","61","1304226","1"
"United States of America","2007","Male","62","1293256","1"
"United States of America","2007","Male","63","1261032","1"
"United States of America","2007","Male","64","1296992","1"
"United States of America","2007","Male","65","1129983","1"
"United States of America","2007","Male","65 - 69","5019063","1"
"United States of America","2007","Male","66","1037383","1"
"United States of America","2007","Male","67","999850","1"
"United States of America","2007","Male","68","941480","1"
"United States of America","2007","Male","69","910367","1"
"United States of America","2007","Male","70","842770","1"
"United States of America","2007","Male","70 - 74","3867910","1"
"United States of America","2007","Male","71","812603","1"
"United States of America","2007","Male","72","799468","1"
"United States of America","2007","Male","73","714126","1"
"United States of America","2007","Male","74","698943","1"
"United States of America","2007","Male","75","673960","1"
"United States of America","2007","Male","75 - 79","3106968","1"
"United States of America","2007","Male","76","649541","1"
"United States of America","2007","Male","77","640087","1"
"United States of America","2007","Male","78","582889","1"
"United States of America","2007","Male","79","560491","1"
"United States of America","2007","Male","80","522849","1"
"United States of America","2007","Male","80 - 84","2205705","1"
"United States of America","2007","Male","81","475382","1"
"United States of America","2007","Male","82","447633","1"
"United States of America","2007","Male","83","401955","1"
"United States of America","2007","Male","84","357886","1"
"United States of America","2007","Male","85","323088","1"
"United States of America","2007","Male","85 - 89","1205125","1"
"United States of America","2007","Male","86","283427","1"
"United States of America","2007","Male","87","243687","1"
"United States of America","2007","Male","88","187167","1"
"United States of America","2007","Male","89","167756","1"
"United States of America","2007","Male","90","130817","1"
"United States of America","2007","Male","90 - 94","445129","1"
"United States of America","2007","Male","91","106110","1"
"United States of America","2007","Male","92","87949","1"
"United States of America","2007","Male","93","68251","1"
"United States of America","2007","Male","94","52002","1"
